3000
3.e-4 3.e-4 5.4e-4
6.43109e-05 0.000294328 6.33584e-05 1.5032e-05
4.66869e-05 0.000295355 4.16321e-05 1.29625e-05
4.52792e-05 0.000273675 5.41293e-05 9.9885e-06
8.91188e-05 0.000279832 4.26809e-05 2.02595e-05
8.8675e-05 0.000296758 6.76658e-05 9.829e-06
0.000130712 0.000281163 4.7293e-05 1.59115e-05
0.000149199 0.000299658 5.53927e-05 1.1464e-05
0.000146405 0.000267682 6.9023e-05 1.4092e-05
0.000166445 0.000283487 5.65153e-05 1.2204e-05
0.000183859 0.000267317 4.96555e-05 1.253e-05
0.000177996 0.000292318 4.05438e-05 9.3945e-06
0.000196647 0.000290474 5.51014e-05 1.4337e-05
0.000197337 0.000269627 7.03675e-05 1.1511e-05
0.000227637 0.00028504 6.0294e-05 1.73825e-05
0.000260365 0.000295516 3.67895e-05 1.59775e-05
0.000260668 0.000267924 5.07025e-05 1.4925e-05
0.000287766 3.67176e-08 5.0299e-05 1.49055e-05
0.000288412 0.000270642 5.53096e-05 1.30605e-05
0.00027231 0.00028613 6.9518e-05 1.34075e-05
2.98445e-05 2.38055e-05 9.69484e-05 1.07165e-05
4.86789e-05 1.19869e-05 8.30875e-05 1.53085e-05
6.57007e-05 3.01211e-05 9.03406e-05 1.0599e-05
0.000131022 2.87625e-05 8.66917e-05 9.4695e-06
0.000106731 2.43862e-05 9.60836e-05 1.11985e-05
0.000127473 1.20639e-05 0.000101194 1.29305e-05
0.000113366 3.10629e-05 7.51646e-05 1.17405e-05
0.000131338 1.01681e-05 7.84023e-05 1.02645e-05
0.000157079 1.72755e-05 9.62607e-05 1.49715e-05
0.000185525 2.03652e-05 7.69883e-05 1.1232e-05
0.000183572 9.39127e-06 9.90549e-05 1.28105e-05
0.000202352 1.04749e-05 8.39461e-05 9.489e-06
0.000229119 6.83364e-06 8.34341e-05 1.4313e-05
0.000258168 9.95621e-07 9.10142e-05 1.6271e-05
0.000258231 3.25852e-05 8.59529e-05 1.5595e-05
0.000299233 1.10348e-05 7.43429e-05 1.1034e-05
0.000286933 7.07619e-06 9.4869e-05 1.32185e-05
0.000282481 2.27577e-05 8.18828e-05 7.623e-06
1.53472e-05 3.65794e-05 7.87086e-05 1.58445e-05
2.88642e-05 6.11083e-05 9.54646e-05 1.2724e-05
4.44862e-05 4.05314e-05 9.03002e-05 1.24855e-05
6.48465e-05 5.0312e-05 7.55361e-05 1.44525e-05
8.85209e-05 3.62467e-05 8.31154e-05 1.4109e-05
9.34692e-05 5.63704e-05 0.000100875 1.3183e-05
0.000120206 5.33035e-05 8.99716e-05 1.584e-05
0.00014227 4.35698e-05 7.90219e-05 1.06455e-05
0.000167088 6.44217e-05 0.000103607 1.2812e-05
0.000169946 4.35875e-05 8.21803e-05 1.721e-05
0.000194951 5.80689e-05 8.70704e-05 1.02735e-05
0.000191617 4.3178e-05 0.000107007 1.2874e-05
0.000231995 3.82542e-05 8.98111e-05 1.1522e-05
0.000206196 3.46435e-05 8.48357e-05 1.49995e-05
0.000215647 5.91401e-05 7.93356e-05 1.1827e-05
0.00021205 5.3518e-05 0.000100063 9.9485e-06
0.000240338 5.56702e-05 7.34124e-05 1.3801e-05
0.000234591 6.19635e-05 9.9837e-05 1.3964e-05
0.000279618 5.06042e-05 7.95388e-05 1.3089e-05
0.0002926 6.13e-05 9.6994e-05 1.11515e-05
0.000268968 6.08287e-05 0.000100792 1.27885e-05
8.63841e-06 6.85103e-05 7.52385e-05 1.6822e-05
2.4325e-05 9.58144e-05 9.5311e-05 1.34315e-05
1.01593e-05 7.84874e-05 9.93411e-05 9.308e-06
1.46255e-06 9.7729e-05 8.07867e-05 1.3722e-05
5.77098e-05 6.80043e-05 9.85532e-05 1.24965e-05
4.44312e-05 6.90455e-05 7.81057e-05 1.19065e-05
4.8973e-05 9.5691e-05 8.06578e-05 1.52435e-05
6.87581e-05 7.66734e-05 7.80936e-05 1.2319e-05
8.08999e-05 8.01134e-05 0.000100826 1.36795e-05
9.7897e-05 8.62059e-05 8.25532e-05 1.19145e-05
0.00012475 7.48659e-05 7.8194e-05 9.146e-06
0.000111269 7.88406e-05 0.000107005 1.6131e-05
0.000162227 7.17681e-05 8.03399e-05 1.20665e-05
0.000165399 9.64955e-05 7.85711e-05 1.1713e-05
0.000141713 8.42868e-05 9.46124e-05 1.58845e-05
0.000185895 7.79316e-05 8.69298e-05 1.15565e-05
0.000194384 9.98132e-05 9.94154e-05 1.0385e-05
0.000190143 9.71926e-05 7.39258e-05 1.20685e-05
0.000171194 9.15426e-05 0.000103775 1.46185e-05
0.000191009 6.75934e-05 0.000106951 1.1549e-05
0.000213731 9.93763e-05 8.57946e-05 1.32795e-05
0.000232383 7.89198e-05 7.87755e-05 1.13505e-05
0.00020793 7.60056e-05 9.35241e-05 1.15245e-05
0.000226901 8.55932e-05 0.000100667 1.08995e-05
0.000252069 8.23211e-05 9.6407e-05 1.27095e-05
0.000272995 7.76279e-05 7.92816e-05 1.47355e-05
0.000292766 8.01371e-05 9.10472e-05 8.4075e-06
0.000281242 8.87025e-05 0.000102477 9.9395e-06
1.33651e-05 0.000119767 9.34855e-05 1.29725e-05
4.01619e-05 0.000120008 9.27758e-05 1.3297e-05
